Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mo Bamba,C,25,PHI,4,0,2.3,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,0.5,1.000,0.5,1.0,1.5,0.0,0.0,0.5,0.8,0.8,0.5
Paolo Banchero,PF,21,ORL,11,11,33.9,6.4,14.0,.455,1.3,3.2,.400,5.1,10.8,.471,.500,4.7,7.2,.658,1.4,5.6,7.0,4.9,1.5,0.4,3.3,2.4,18.7
Desmond Bane,SG,25,MEM,11,11,34.7,9.4,20.5,.456,3.4,9.5,.352,6.0,11.0,.545,.538,3.4,4.0,.841,0.6,3.8,4.5,4.5,1.5,0.9,2.6,3.0,25.5
Dalano Banton,PG,24,BOS,5,0,7.2,1.2,2.6,.462,0.0,0.6,.000,1.2,2.0,.600,.462,0.6,0.6,1.000,0.8,1.4,2.2,0.4,0.4,0.0,0.2,1.0,3.0
Dominick Barlow,PF,20,SAS,4,0,5.3,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.5,1.0,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,1.5
Harrison Barnes,PF,31,SAC,10,10,30.9,3.9,8.1,.481,1.8,4.5,.400,2.1,3.6,.583,.593,1.8,2.3,.783,0.7,2.2,2.9,1.3,0.8,0.1,0.7,1.1,11.4
Scottie Barnes,SG,22,TOR,11,11,35.7,7.9,16.6,.475,1.9,5.1,.375,6.0,11.5,.520,.533,3.2,4.2,.761,3.0,6.6,9.6,5.7,1.7,1.6,2.5,2.4,20.9
RJ Barrett,SG,23,NYK,7,7,31.1,7.9,16.1,.487,2.9,5.7,.500,5.0,10.4,.479,.575,4.0,4.7,.848,0.6,2.9,3.4,3.1,0.6,0.3,2.1,1.1,22.6
Charles Bassey,C,23,SAS,11,0,12.1,1.8,2.5,.741,0.0,0.1,.000,1.8,2.4,.769,.741,0.2,0.3,.667,1.4,2.6,4.0,1.0,0.7,0.5,0.5,1.5,3.8
Emoni Bates,SF,20,CLE,4,0,8.0,0.8,2.3,.333,0.5,1.5,.333,0.3,0.8,.333,.444,0.3,0.5,.500,0.3,1.5,1.8,0.3,0.0,0.3,0.3,0.3,2.3
Keita Bates-Diop,SF,28,PHO,8,4,21.0,2.4,5.4,.442,0.8,2.3,.333,1.6,3.1,.520,.512,0.6,1.1,.556,1.3,2.8,4.0,1.3,0.5,0.8,0.1,1.0,6.1
Nicolas Batum,PF,35,TOT,7,1,22.4,1.9,3.3,.565,1.4,2.9,.500,0.4,0.4,1.000,.783,0.0,0.0,,0.7,2.6,3.3,1.3,0.9,1.1,0.3,2.0,5.1
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,4,1,25.8,2.5,3.8,.667,2.0,3.3,.615,0.5,0.5,1.000,.933,0.0,0.0,,1.3,2.8,4.0,1.0,0.8,1.0,0.3,2.3,7.0
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,.391,1.7,5.0,.333,4.3,10.3,.419,.446,3.7,5.3,.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,11,11,25.6,3.6,7.4,.494,2.5,5.5,.467,1.1,1.9,.571,.667,0.5,0.8,.556,0.5,3.2,3.6,1.3,1.0,0.0,0.7,2.1,10.3
MarJon Beauchamp,SF,23,MIL,10,0,16.7,2.6,5.1,.510,1.1,2.5,.440,1.5,2.6,.577,.618,0.5,0.8,.625,0.8,1.5,2.3,1.0,0.3,0.1,0.7,1.7,6.8
Dāvis Bertāns,PF,31,OKC,3,0,8.3,0.3,1.7,.200,0.3,1.7,.200,0.0,0.0,,.300,2.0,2.0,1.000,0.0,0.3,0.3,0.3,0.3,0.0,0.0,1.0,3.0
Patrick Beverley,PG,35,PHI,11,0,16.1,0.9,2.7,.333,0.2,1.4,.133,0.7,1.4,.533,.367,0.1,0.3,.333,1.0,2.2,3.2,2.0,0.5,0.5,0.5,2.0,2.1
Saddiq Bey,SF,24,ATL,11,3,27.6,4.4,9.1,.480,1.7,4.6,.373,2.6,4.5,.592,.575,1.4,1.5,.882,1.9,3.4,5.3,1.2,1.1,0.3,1.5,1.4,11.8
Goga Bitadze,C,24,ORL,9,6,16.8,2.9,4.7,.619,0.0,0.3,.000,2.9,4.3,.667,.619,1.8,2.3,.762,2.4,2.9,5.3,1.1,1.0,1.0,0.4,2.1,7.6
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,6,5,24.7,2.8,5.2,.548,0.0,0.0,,2.8,5.2,.548,.548,1.8,2.8,.647,5.0,4.3,9.3,1.8,0.5,1.2,0.7,3.2,7.5
Anthony Black,PG,20,ORL,9,5,19.9,2.3,4.2,.553,0.6,1.7,.333,1.8,2.6,.696,.618,0.7,1.0,.667,0.9,1.2,2.1,1.6,0.4,0.3,0.8,1.9,5.9
Leaky Black,SF,24,CHO,3,0,4.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.7,0.0,0.3,1.7
Bogdan Bogdanović,SG,31,ATL,11,1,26.2,5.4,12.2,.440,2.9,8.3,.352,2.5,3.9,.628,.560,1.1,1.1,1.000,0.4,2.4,2.7,3.0,1.5,0.5,1.2,1.9,14.7
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7
Devin Booker,SG,27,PHO,3,3,32.7,11.7,20.7,.565,3.3,7.3,.455,8.3,13.3,.625,.645,4.7,4.7,1.000,1.0,5.3,6.3,8.7,0.3,0.0,4.3,3.3,31.3
Chris Boucher,PF,31,TOR,9,0,16.6,2.2,4.9,.455,0.6,1.6,.357,1.7,3.3,.500,.511,2.0,2.2,.900,1.8,3.7,5.4,0.6,0.2,0.8,0.7,2.4,7.0
Jamaree Bouyea,PG,24,POR,3,0,13.0,1.3,5.7,.235,0.0,2.0,.000,1.3,3.7,.364,.235,0.0,0.0,,0.3,2.0,2.3,1.0,0.0,0.0,1.7,1.0,2.7
Malaki Branham,SG,20,SAS,11,3,20.2,3.7,8.6,.432,1.0,3.2,.314,2.7,5.5,.500,.489,0.5,0.6,.857,0.2,1.4,1.5,2.2,0.5,0.1,0.9,1.2,9.0
Christian Braun,SG,22,DEN,11,0,19.0,2.7,6.0,.455,0.4,1.6,.222,2.4,4.4,.542,.485,1.4,2.0,.682,1.0,3.1,4.1,2.1,0.5,0.3,0.5,1.5,7.2
Mikal Bridges,SF,27,BRK,11,11,34.3,7.6,16.7,.457,1.9,6.5,.292,5.7,10.2,.563,.514,3.1,3.7,.829,1.4,4.8,6.2,3.7,1.3,0.5,2.5,1.9,20.3
Oshae Brissett,SF,25,BOS,6,0,11.2,0.5,2.8,.176,0.2,1.5,.111,0.3,1.3,.250,.206,1.0,1.3,.750,1.0,1.3,2.3,0.3,0.7,0.0,0.3,0.8,2.2
Malcolm Brogdon,PG,31,POR,8,3,27.8,6.1,15.1,.405,2.0,5.9,.340,4.1,9.3,.446,.471,3.0,3.8,.800,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
Armoni Brooks,PG,25,BRK,3,0,12.0,2.0,4.0,.500,1.7,3.0,.556,0.3,1.0,.333,.708,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.0,5.7
Dillon Brooks,SF,28,HOU,9,9,30.9,4.8,8.7,.551,1.8,3.3,.533,3.0,5.3,.563,.654,2.3,2.8,.840,0.4,3.8,4.2,2.0,1.1,0.1,2.0,3.4,13.7
Bruce Brown,SG,27,IND,11,11,31.5,4.3,9.4,.456,1.5,3.8,.381,2.8,5.5,.508,.534,1.3,1.5,.875,0.7,3.8,4.5,2.7,1.0,0.4,0.9,2.0,11.3
Jaylen Brown,SF,27,BOS,10,10,33.7,8.5,18.5,.459,2.8,7.7,.364,5.7,10.8,.528,.535,3.1,4.2,.738,0.5,4.7,5.2,3.2,1.0,0.4,2.5,2.7,22.9
Kobe Brown,PF,24,LAC,6,0,8.7,1.2,2.3,.500,0.5,1.3,.375,0.7,1.0,.667,.607,0.0,0.0,,0.3,1.0,1.3,0.3,0.2,0.2,0.2,1.3,2.8
Moses Brown,C,24,POR,1,0,5.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,2.0,.000,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0
Troy Brown Jr.,SF,24,MIN,8,0,7.3,0.4,1.6,.231,0.0,0.9,.000,0.4,0.8,.500,.231,1.3,1.3,1.000,0.4,1.6,2.0,0.5,0.4,0.0,0.4,0.3,2.0
Jalen Brunson,PG,27,NYK,11,11,34.9,8.0,18.9,.423,2.9,6.4,.457,5.1,12.5,.406,.500,3.8,4.6,.824,0.6,2.4,3.0,4.6,1.0,0.0,2.3,1.9,22.7
Thomas Bryant,C,26,MIA,10,1,12.5,2.1,4.0,.525,0.0,0.2,.000,2.1,3.8,.553,.525,1.0,1.3,.769,1.1,2.6,3.7,0.6,0.4,0.3,1.0,1.2,5.2
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,5,0,10.4,0.4,1.6,.250,0.4,1.4,.286,0.0,0.2,.000,.375,0.0,0.0,,0.0,1.4,1.4,0.6,0.2,0.2,0.4,0.8,1.2
Alec Burks,SG,32,DET,6,0,24.3,4.0,9.7,.414,3.3,6.8,.488,0.7,2.8,.235,.586,4.0,4.7,.857,0.5,2.5,3.0,3.0,0.3,0.5,0.2,1.8,15.3
Jared Butler,SG,23,WAS,2,0,4.5,0.5,2.0,.250,0.5,1.5,.333,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5
Jimmy Butler,PF,34,MIA,9,9,33.8,6.2,13.7,.455,1.0,2.0,.500,5.2,11.7,.448,.492,6.6,7.7,.855,2.7,3.2,5.9,3.7,1.4,0.3,1.6,0.7,20.0
Jamal Cain,PF,24,MIA,3,0,10.0,1.3,3.0,.444,0.0,1.3,.000,1.3,1.7,.800,.444,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.3,0.7,2.7
Kentavious Caldwell-Pope,SG,30,DEN,11,11,33.8,3.4,7.0,.481,1.6,3.6,.450,1.7,3.4,.514,.597,1.3,1.5,.875,0.2,1.6,1.8,1.9,1.7,0.5,1.2,2.5,9.6
Toumani Camara,PF,23,POR,11,2,24.4,1.8,5.5,.333,0.6,2.4,.269,1.2,3.1,.382,.392,0.9,1.3,.714,1.9,2.5,4.4,1.5,0.8,0.7,1.1,2.3,5.2
Clint Capela,C,29,ATL,11,11,25.1,4.0,6.7,.595,0.0,0.0,,4.0,6.7,.595,.595,1.5,2.4,.654,3.5,6.3,9.7,0.9,0.8,1.6,0.7,2.2,9.5
Jevon Carter,PG,28,CHI,12,0,14.8,2.6,5.8,.443,1.7,3.6,.465,0.9,2.3,.407,.586,0.0,0.1,.000,0.1,0.4,0.5,1.2,0.7,0.3,0.8,1.3,6.8
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,10,0,23.6,3.1,5.1,.608,1.3,2.9,.448,1.8,2.2,.818,.735,1.1,1.5,.733,1.4,2.6,4.0,2.5,1.4,0.8,1.1,2.8,8.6
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,6,1,11.2,1.3,5.3,.250,0.7,2.8,.235,0.7,2.5,.267,.313,0.3,0.3,1.000,0.2,1.0,1.2,0.5,0.8,1.0,0.8,0.0,3.7
Max Christie,SG,20,LAL,8,0,14.0,1.1,3.6,.310,0.3,1.4,.182,0.9,2.3,.389,.345,0.5,0.6,.800,0.3,2.5,2.8,0.6,0.4,0.1,0.8,1.1,3.0
Jordan Clarkson,SG,31,UTA,11,11,31.5,6.5,15.5,.421,1.7,5.5,.311,4.8,10.0,.482,.477,2.9,3.5,.842,1.5,1.9,3.4,4.7,0.9,0.2,3.5,1.5,17.7
Nic Claxton,C,24,BRK,3,3,25.7,3.7,7.3,.500,0.0,0.0,,3.7,7.3,.500,.500,1.0,1.0,1.000,3.3,5.3,8.7,2.0,0.3,3.0,0.3,2.3,8.3
Amir Coffey,SF,26,LAC,5,0,7.4,0.4,1.6,.250,0.0,0.4,.000,0.4,1.2,.333,.250,0.8,0.8,1.000,0.0,0.6,0.6,0.4,0.0,0.0,0.4,0.4,1.6
John Collins,PF,26,UTA,11,11,31.2,5.6,10.8,.521,1.5,3.6,.425,4.1,7.2,.570,.592,2.1,2.9,.719,2.6,5.5,8.2,1.0,0.6,0.9,1.3,3.5,14.9
Zach Collins,C,26,SAS,11,11,29.9,5.6,10.5,.534,1.0,3.7,.268,4.6,6.8,.680,.582,1.6,2.3,.720,1.9,4.3,6.2,3.7,0.5,1.0,2.7,3.4,13.9
Mike Conley,PG,36,MIN,11,11,28.7,4.0,7.6,.524,1.9,4.3,.447,2.1,3.4,.622,.649,1.1,1.1,1.000,0.7,2.4,3.1,5.1,0.8,0.1,0.6,1.9,11.0
Pat Connaughton,SF,31,MIL,11,0,22.1,1.8,4.6,.392,0.8,2.9,.281,1.0,1.7,.579,.480,0.7,0.9,.800,0.5,2.6,3.2,2.1,0.5,0.2,0.6,1.4,5.2
Bilal Coulibaly,SF,19,WAS,11,1,25.7,3.1,5.9,.523,1.5,3.1,.471,1.6,2.8,.581,.646,0.7,1.4,.533,0.5,3.6,4.1,1.8,1.0,0.8,1.2,1.9,8.4
Robert Covington,SF-PF,33,TOT,11,5,17.4,1.5,3.8,.381,0.5,2.4,.192,1.0,1.5,.688,.440,0.8,0.9,.900,0.9,1.5,2.5,0.9,1.7,0.5,0.2,1.6,4.2
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,8,2,15.3,1.6,4.1,.394,0.4,2.3,.167,1.3,1.9,.667,.439,1.0,1.0,1.000,1.0,1.4,2.4,0.4,1.6,0.4,0.3,1.4,4.6
Torrey Craig,SF,33,CHI,12,7,23.1,2.1,5.2,.403,0.8,2.3,.321,1.3,2.8,.471,.476,0.4,0.4,1.000,2.2,3.7,5.8,1.4,0.8,0.3,0.5,2.7,5.3
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,12,12,36.2,8.0,19.9,.402,1.8,6.2,.297,6.2,13.8,.448,.448,3.5,4.0,.875,0.5,3.1,3.6,7.3,0.8,0.3,5.0,3.3,21.3
Seth Curry,SG,33,DAL,9,0,10.1,1.2,2.9,.423,0.4,1.6,.286,0.8,1.3,.583,.500,0.7,0.8,.857,0.3,1.0,1.3,0.9,0.7,0.1,0.4,0.7,3.6
Stephen Curry,PG,35,GSW,11,11,32.5,9.5,19.5,.488,5.6,12.6,.446,3.9,6.9,.566,.633,6.0,6.5,.930,0.9,3.7,4.6,3.9,1.0,0.2,3.7,1.5,30.7
Dyson Daniels,PG,20,NOP,11,4,26.3,3.3,7.2,.456,1.1,3.1,.353,2.2,4.1,.533,.532,0.8,1.5,.563,1.2,3.6,4.8,3.3,1.4,0.5,1.5,1.9,8.5
Anthony Davis,C,30,LAL,11,11,36.0,8.0,15.3,.524,0.3,0.8,.333,7.7,14.5,.535,.533,5.8,6.5,.889,2.9,8.7,11.6,3.5,0.6,3.4,1.7,2.8,22.1
Johnny Davis,SG,21,WAS,6,0,10.5,2.3,4.3,.538,0.2,0.3,.500,2.2,4.0,.542,.558,0.3,0.5,.667,0.5,0.8,1.3,0.3,0.8,0.2,0.3,1.0,5.2
DeMar DeRozan,SF,34,CHI,11,11,34.9,7.5,17.2,.434,0.7,2.3,.320,6.7,14.9,.451,.455,5.5,6.5,.847,1.2,1.8,3.0,4.5,1.1,1.1,0.8,2.2,21.2
Moussa Diabaté,C,22,LAC,6,0,7.5,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,0.8,1.0,.833,1.7,0.8,2.5,0.7,0.3,0.0,0.3,0.7,3.5
Gradey Dick,SG,20,TOR,11,1,16.2,1.4,4.6,.294,0.7,2.9,.250,0.6,1.7,.368,.373,0.9,0.9,1.000,0.6,1.0,1.6,1.1,0.3,0.0,0.8,1.8,4.4
Ousmane Dieng,PF,20,OKC,10,0,11.3,1.3,3.4,.382,0.7,2.5,.280,0.6,0.9,.667,.485,0.3,0.4,.750,0.5,1.5,2.0,0.9,0.1,0.0,0.4,0.6,3.6
Spencer Dinwiddie,PG,30,BRK,10,10,28.1,4.2,9.4,.447,2.4,6.0,.400,1.8,3.4,.529,.574,1.7,2.6,.654,0.2,3.1,3.3,5.2,0.4,0.1,1.3,1.6,12.5
Donte DiVincenzo,SG,27,NYK,11,0,19.6,2.5,6.9,.368,1.4,4.3,.319,1.2,2.6,.448,.467,0.6,1.1,.583,0.9,2.1,3.0,1.7,0.9,0.4,1.4,1.6,7.1
Luka Dončić,PG,24,DAL,12,12,34.8,10.3,20.6,.502,4.2,9.9,.420,6.2,10.7,.578,.603,5.8,7.7,.761,0.7,7.1,7.8,8.1,1.1,0.4,4.4,1.8,30.7
Luguentz Dort,SF,24,OKC,11,11,29.7,4.2,8.5,.489,2.2,4.6,.471,2.0,3.9,.512,.617,2.5,3.2,.800,1.4,3.3,4.6,1.2,1.4,1.1,1.1,2.9,13.1
Ayo Dosunmu,SG,24,CHI,10,0,15.3,2.3,4.3,.535,0.9,2.0,.450,1.4,2.3,.609,.640,0.3,0.4,.750,0.6,0.9,1.5,1.2,0.5,0.1,0.5,1.1,5.8
Andre Drummond,C,30,CHI,12,0,13.4,2.8,5.0,.567,0.0,0.0,,2.8,5.0,.567,.567,0.9,1.6,.579,2.7,3.4,6.1,0.8,1.3,0.2,1.1,1.5,6.6
Chris Duarte,SF,26,SAC,10,0,13.2,1.4,4.1,.341,0.7,2.5,.280,0.7,1.6,.438,.427,0.8,1.1,.727,0.1,1.1,1.2,1.0,0.5,0.1,0.5,2.9,4.3
Kris Dunn,PG,29,UTA,9,0,11.3,1.4,3.6,.406,0.3,0.9,.375,1.1,2.7,.417,.453,0.4,0.7,.667,0.3,1.7,2.0,2.2,0.6,0.0,1.2,1.4,3.7
Kevin Durant,PF,35,PHO,11,11,36.6,10.2,19.8,.514,1.8,4.0,.455,8.4,15.8,.529,.560,7.9,9.2,.861,0.5,6.5,7.0,4.7,0.8,1.2,3.9,1.7,30.1
Jalen Duren,C,20,DET,8,8,28.9,5.8,9.3,.622,0.0,0.1,.000,5.8,9.1,.630,.622,1.1,1.5,.750,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6
Tari Eason,PF,22,HOU,3,0,16.3,2.7,7.3,.364,1.0,2.3,.429,1.7,5.0,.333,.432,0.0,0.0,,2.0,4.7,6.7,1.3,0.3,1.0,0.7,1.7,6.3
Anthony Edwards,SG,22,MIN,11,11,35.5,9.5,20.5,.467,2.4,6.4,.371,7.2,14.1,.510,.524,4.8,5.8,.828,0.8,5.0,5.8,5.2,1.5,0.4,3.5,1.5,26.3
Kessler Edwards,SF,23,SAC,8,0,4.5,0.1,0.8,.167,0.1,0.5,.250,0.0,0.3,.000,.250,0.1,0.3,.500,0.0,0.6,0.6,0.4,0.1,0.1,0.1,0.6,0.5
Keon Ellis,SG,24,SAC,7,2,12.9,1.3,3.6,.360,0.7,2.9,.250,0.6,0.7,.800,.460,0.9,1.6,.545,0.4,1.3,1.7,0.9,0.7,0.6,0.7,1.3,4.1
Joel Embiid,C,29,PHI,11,11,34.1,10.7,21.3,.504,1.1,3.5,.308,9.6,17.7,.544,.530,9.4,10.7,.873,3.4,8.1,11.5,5.8,0.9,1.7,3.7,2.6,31.9
Drew Eubanks,C,26,PHO,11,0,18.8,3.2,5.0,.636,0.1,0.1,1.000,3.1,4.9,.630,.645,1.4,1.7,.789,1.6,3.4,5.0,2.1,0.3,1.4,1.4,2.1,7.8
Dante Exum,PG,28,DAL,11,0,9.3,1.7,3.6,.475,0.3,0.8,.333,1.5,2.8,.516,.513,0.4,0.6,.571,0.4,1.8,2.2,1.3,0.3,0.2,0.2,1.2,4.1
Bruno Fernando,C,25,ATL,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
Dorian Finney-Smith,PF,30,BRK,11,10,30.4,4.4,9.4,.466,3.0,6.8,.440,1.4,2.5,.536,.626,0.1,0.3,.333,2.0,3.3,5.3,1.4,0.3,0.7,0.9,2.5,11.8
Malachi Flynn,PG,25,TOR,11,0,16.4,2.0,4.7,.423,1.0,2.9,.344,1.0,1.8,.550,.529,0.6,0.7,.875,0.5,1.4,1.8,2.2,0.8,0.1,1.1,1.4,5.6
Simone Fontecchio,SF,28,UTA,9,0,10.7,1.8,3.8,.471,1.0,2.6,.391,0.8,1.2,.636,.603,0.0,0.0,,0.7,1.2,1.9,0.4,0.2,0.2,0.9,0.9,4.6
Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8
Trent Forrest,SG,25,ATL,2,0,9.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.5,0.0,0.5,2.5,0.0,0.0,0.0,0.5,1.0
De'Aaron Fox,PG,26,SAC,5,5,36.2,11.0,22.4,.491,2.8,7.8,.359,8.2,14.6,.562,.554,5.2,7.0,.743,1.4,2.6,4.0,5.8,1.8,0.4,2.4,3.4,30.0
